Producer,264,8400
Producer,377,3000
Producer,727,1500
Consumer,402,1000
Producer,754,1008500
Consumer,967,268200
Producer,224,1308400
Consumer,794,932300
Producer,570,1446400
Consumer,593,1006100
Producer,552,1604700
Consumer,4,1191300
Producer,946,1696800
Consumer,394,1354600
Producer,72,1853700
Consumer,343,1439000
Producer,432,1942500
Consumer,209,1545100
Consumer,337,1634500
Consumer,229,1642100
Producer,6328,2300
Producer,6100,1700
Producer,7171,1500
Consumer,5423,1400
Consumer,2491,2900
Producer,7196,14722300
Consumer,4319,800
Consumer,3311,1200
Producer,8505,14935300
Consumer,807,1200
Consumer,9687,1300
Consumer,5886,1200
Producer,5603,15211700
Consumer,107,3900
Producer,8555,15156300
Consumer,4830,1300
Consumer,702,1000
Consumer,3186,1400
Producer,2902,15244800
Producer,1536,15277600
Consumer,6742,1300
Producer,8289,15333400
Consumer,3215,1300
Producer,4972,15425300
Consumer,5768,1200
Consumer,507,1400
Producer,7440,15480000
Consumer,5058,800
Producer,666,15459900
Consumer,1542,1200
Consumer,7699,1200
Producer,2391,15494100
Consumer,4444,69800
Producer,1059,15606100
Producer,1593,15625300
Producer,6657,15721400
Consumer,6670,1900
Producer,7246,15829200
Consumer,1908,900
Consumer,7363,249200
Producer,7145,15938700
Consumer,5858,370600
Consumer,260,438000
Producer,8249,16064200
Consumer,2541,194700
Consumer,6515,692900
Producer,2717,16095000
Consumer,1186,278400
Producer,4092,16160700
Consumer,7047,490300
Producer,9742,16413400
Consumer,2794,434400
Consumer,4471,1031400
Producer,9318,16558300
Consumer,3594,546800
Consumer,3758,1000
Consumer,980,439300
Producer,8174,16705200
Consumer,4622,486200
Consumer,5330,509500
Producer,2701,17243300
Producer,6429,17280900
Consumer,9358,1657600
Producer,6786,17325100
Consumer,5256,341300
Consumer,573,1100
Producer,2742,17351900
Producer,5182,17105900
Consumer,8653,666400
Producer,2379,17139800
Producer,9068,17124200
Consumer,7258,553200
Producer,5250,17140800
Consumer,2264,430200
Consumer,6959,558500
Producer,4301,17242400
Consumer,5635,521000
Producer,3456,10823600
Consumer,4289,644900
Producer,2687,10942000
Producer,8501,11052500
Consumer,6330,1065700
Producer,2,11167800
Consumer,5430,878200
Producer,1273,11294000
Consumer,323,920900
Producer,3773,11378900
Producer,3221,11465600
Consumer,7897,1895800
Producer,6635,11540200
Consumer,5209,1234500
Producer,8898,11810300
Consumer,7735,1469200
Producer,9621,11920800
Consumer,91,1509300
Consumer,7681,1952700
Producer,2457,12083100
Consumer,3500,1561500
Consumer,2118,1580500
Producer,5527,12200800
Consumer,5333,1637500
Producer,2015,12341800
Producer,7593,12460300
Consumer,6990,1863500
Producer,4473,12589800
Consumer,8441,1923800
Producer,3048,12717600
Producer,9230,12716100
Consumer,7220,2862000
Producer,3633,12844800
Consumer,7671,2275100
Producer,3408,13008900
Consumer,3975,2463100
Producer,79,13061300
Producer,6978,13068700
Consumer,5642,3177500
Producer,6020,13074100
Consumer,57,2558700
Consumer,6514,2835300
Producer,7240,13136300
Consumer,7463,2579100
Producer,9781,12894900
Consumer,8713,2565200
Producer,8990,12941800
Consumer,5456,2560300
Consumer,6113,2841800
Producer,5688,13084500
Consumer,3687,2801700
Consumer,2211,3344500
Producer,3218,13284000
Consumer,48,2695700
Consumer,1737,2209000
Producer,83,13350900
Producer,7670,13410800
Consumer,8011,4005400
Producer,9160,13467900
Consumer,6098,2325100
Consumer,3517,2400000
Producer,9692,13409300
Consumer,2225,2414800
Consumer,6835,2407600
Producer,3995,13475000
Consumer,4451,2457300
Producer,4869,13530100
Consumer,1748,2684000
Producer,2329,13502000
Consumer,4408,2365200
Producer,9602,13418200
Consumer,6378,2209100
Producer,631,13449000
Producer,2532,13416300
Consumer,5746,2852800
Producer,8966,13376100
Consumer,9990,2144100
Producer,4160,13360400
Producer,1912,13319300
Producer,9494,13187500
Consumer,5626,4038700
Producer,1669,13192800
Consumer,4442,2264500
Consumer,6041,2362900
Producer,8460,13201600
Consumer,8621,2274100
Producer,1671,13215500
Producer,9287,13070200
Consumer,3825,2262900
Producer,6218,12961400
Consumer,2337,2181700
Consumer,8932,2973500
Producer,2386,12952600
Consumer,664,2244600
Consumer,1888,2105500
Producer,1188,13037400
Consumer,4642,2154300
Producer,5247,13041500
Consumer,4845,2585100
Producer,4013,13045600
Producer,1725,13069400
Producer,5288,13037800
Consumer,7687,2406600
Producer,3442,13033100
Consumer,7657,2261900
Producer,6226,13067600
Producer,3815,13055300
Consumer,9580,4181400
Producer,3494,12927900
Producer,973,12935300
Producer,7638,12759300
Consumer,9015,2857600
Producer,9211,12657600
Consumer,6556,2272600
Producer,1483,12701000
Producer,7050,12473000
Consumer,7328,2545200
Producer,7742,12462400
Consumer,9519,2942800
Producer,5903,12343700
Producer,6941,116018200
Producer,31976,3900
Producer,93837,1700
Consumer,86899,1100
Producer,80466,101785500
Consumer,70841,111900
Producer,47820,101805200
Consumer,57513,600
Producer,17374,101896900
Producer,92631,101893400
Consumer,24876,500
Consumer,92455,437700
Producer,1474,101966800
Producer,44933,101858400
Consumer,71283,800
Producer,35513,101948600
Producer,24510,101996100
Consumer,62689,97300
Producer,45574,102045600
Consumer,6948,157600
Producer,31847,102019700
Consumer,39738,257900
Producer,45345,102147400
Consumer,60339,216200
Producer,85332,102213500
Consumer,50485,185000
Producer,53030,102277500
Consumer,70051,600
Producer,20296,102359700
Producer,47506,102283700
Consumer,70528,1395300
Producer,82141,102301200
Producer,55013,102317600
Consumer,94208,800
Producer,55276,102373900
Consumer,2457,400
Consumer,53898,600
Consumer,22015,400
Producer,95182,102585400
Consumer,48248,600
Consumer,88366,800
Producer,40625,102749800
Producer,59080,102628200
Consumer,94244,500
Consumer,4039,600
Producer,98293,102762700
Consumer,90207,500
